model,model_name,layer,r_fact_mean,r_hallu_mean,diff,abs_diff,p_value,t_statistic,significant
mistral,Mistral 7B,0,0.005192704780160482,0.005593437801850193,-0.00040073302168971113,0.00040073302168971113,0.0006257123393415537,-3.533136506285271,True
mistral,Mistral 7B,1,0.005058104044137757,0.005398758751218099,-0.0003406547070803423,0.0003406547070803423,0.0013815722788152961,-3.2915717302295855,True
mistral,Mistral 7B,2,0.003869988578171381,0.004104288974024052,-0.00023430039585267074,0.00023430039585267074,0.00457684005332469,-2.901516180155915,True
mistral,Mistral 7B,3,0.0040429287772337456,0.004705937326169388,-0.0006630085489356423,0.0006630085489356423,1.1078326569243684e-06,-5.192929599706867,True
mistral,Mistral 7B,4,0.003547290706762225,0.003970490191412779,-0.00042319948465055404,0.00042319948465055404,1.1879238836285568e-19,-11.364692425856168,True
mistral,Mistral 7B,5,0.004419726151297535,0.0045038975467150445,-8.417139541750957e-05,8.417139541750957e-05,0.6053650287080625,-0.5183581442153533,False
mistral,Mistral 7B,6,0.0036957497484972506,0.004161505992236863,-0.0004657562437396126,0.0004657562437396126,0.00017918984894807447,-3.89391186662997,True
mistral,Mistral 7B,7,0.0038417086466728144,0.004936420212267794,-0.0010947115655949797,0.0010947115655949797,1.0173948092861402e-32,-17.85439642134205,True
mistral,Mistral 7B,8,0.003937380224860808,0.004188498803588008,-0.00025111857872720054,0.00025111857872720054,0.00025180611101254056,-3.797955667607253,True
mistral,Mistral 7B,9,0.005727175512520859,0.005920794572414522,-0.00019361905989366286,0.00019361905989366286,0.013629093845785882,-2.5117915369668786,True
mistral,Mistral 7B,10,0.006619308622747482,0.007088609317047471,-0.0004693006942999888,0.0004693006942999888,1.1265091326576213e-10,-7.210873714340819,True
mistral,Mistral 7B,11,0.0034252691215017807,0.0042474585746535756,-0.0008221894531517948,0.0008221894531517948,1.5602383827530028e-59,-36.77530460748689,True
mistral,Mistral 7B,12,0.004024791211391072,0.005083066539357112,-0.0010582753279660398,0.0010582753279660398,3.361120969318722e-20,-11.619247995709706,True
mistral,Mistral 7B,13,0.005898858131881488,0.007707922331700466,-0.0018090641998189773,0.0018090641998189773,2.3018685435564842e-20,-11.69575231965835,True
mistral,Mistral 7B,14,0.004613224655430172,0.005629688163034329,-0.001016463507604157,0.001016463507604157,3.2047932247618106e-39,-21.584416336070603,True
mistral,Mistral 7B,15,0.006801225285543271,0.007730317241075058,-0.0009290919555317873,0.0009290919555317873,4.6385715578386065e-30,-16.441590716907537,True
mistral,Mistral 7B,16,0.00561507984501171,0.0063206506848714535,-0.0007055708398597434,0.0007055708398597434,6.3819730666172675e-15,-9.190329111599638,True
mistral,Mistral 7B,17,0.005745556658854106,0.007008395210664324,-0.0012628385518102187,0.0012628385518102187,1.5205274466303767e-16,-9.934455158737675,True
mistral,Mistral 7B,18,0.005518344100425554,0.0061420797403621405,-0.0006237356399365866,0.0006237356399365866,6.683702470885337e-07,-5.3119699946979475,True
mistral,Mistral 7B,19,0.00689360095113567,0.006840471254523853,5.312969661181669e-05,5.312969661181669e-05,0.7777983615742871,0.2829599263130111,False
mistral,Mistral 7B,20,0.00510884869164971,0.005575618212808149,-0.000466769521158439,0.000466769521158439,1.9987130062867935e-11,-7.567790788325206,True
mistral,Mistral 7B,21,0.006425576695039444,0.007069220247266877,-0.0006436435522274332,0.0006436435522274332,2.2824901887922534e-07,-5.560828821068466,True
mistral,Mistral 7B,22,0.005329865101132983,0.005636951343230481,-0.0003070862420974981,0.0003070862420974981,0.10964491322503249,-1.614301743637069,False
mistral,Mistral 7B,23,0.005882870673081428,0.00605186388270087,-0.0001689932096194417,0.0001689932096194417,0.0001662717891928315,-3.9148137915538026,True
mistral,Mistral 7B,24,0.005097971740579842,0.006105983180351854,-0.0010080114397720118,0.0010080114397720118,1.4753091700244701e-07,-5.660406755829187,True
mistral,Mistral 7B,25,0.005108693572233624,0.0050397335826779174,6.895998955570685e-05,6.895998955570685e-05,0.43756413490575097,0.7794668812578246,False
mistral,Mistral 7B,26,0.005969386278830252,0.0060983026802754635,-0.00012891640144521103,0.00012891640144521103,0.11944080381152464,-1.5707097357329314,False
mistral,Mistral 7B,27,0.0055736136162940686,0.005726713867408801,-0.00015310025111473207,0.00015310025111473207,0.224258072891533,-1.2229333398229263,False
mistral,Mistral 7B,28,0.004401042416304156,0.005033091732753387,-0.0006320493164492305,0.0006320493164492305,2.1646985568510253e-48,-27.673157160314304,True
mistral,Mistral 7B,29,0.007867133731990793,0.007506028888327032,0.0003611048436637605,0.0003611048436637605,0.07035145118091553,1.829387544848788,False
mistral,Mistral 7B,30,0.006927588046561937,0.006738148448172482,0.00018943959838945475,0.00018943959838945475,0.12847614503624977,1.5329563468542342,False
mistral,Mistral 7B,31,0.008473533478478892,0.008167384583980822,0.00030614889449807024,0.00030614889449807024,0.16402654101577338,1.4020550134508079,False
