model,model_name,layer,r_fact_mean,r_hallu_mean,diff,abs_diff,p_value,t_statistic,significant
phi3,Phi-3 Mini 3.8B,0,0.005015114837640861,0.004927777606070019,8.73372315708422e-05,8.73372315708422e-05,0.22797649893768177,1.2131043708289877,False
phi3,Phi-3 Mini 3.8B,1,0.009550866571265226,0.009622436033585164,-7.156946231993803e-05,7.156946231993803e-05,0.5797391138550729,-0.5555979784300412,False
phi3,Phi-3 Mini 3.8B,2,0.012898527381013734,0.012253883322757406,0.0006446440582563284,0.0006446440582563284,0.016945484141280998,2.4289615660683497,True
phi3,Phi-3 Mini 3.8B,3,0.004541974312454044,0.004989009476889313,-0.0004470351644352685,0.0004470351644352685,1.5729561129441971e-09,-6.656730850578186,True
phi3,Phi-3 Mini 3.8B,4,0.003734044834370862,0.004056948115106611,-0.00032290328073574914,0.00032290328073574914,2.4169356377791078e-06,-5.006358148102685,True
phi3,Phi-3 Mini 3.8B,5,0.004453376741292839,0.004611260893757045,-0.00015788415246420582,0.00015788415246420582,0.001387436138883867,-3.290248464516996,True
phi3,Phi-3 Mini 3.8B,6,0.003431879833436497,0.003908092882420934,-0.00047621304898443724,0.00047621304898443724,0.00423513846658723,-2.9278460446211776,True
phi3,Phi-3 Mini 3.8B,7,0.004164506733185002,0.004499555343998478,-0.00033504861081347544,0.00033504861081347544,0.00012164511785393147,-4.001368005948043,True
phi3,Phi-3 Mini 3.8B,8,0.003710196620122064,0.00491516340023196,-0.0012049667801098955,0.0012049667801098955,5.933551287481005e-12,-7.816059909761983,True
phi3,Phi-3 Mini 3.8B,9,0.004166890770581719,0.004845939603729569,-0.00067904883314785,0.00067904883314785,9.379985855360794e-15,-9.113529451973099,True
phi3,Phi-3 Mini 3.8B,10,0.004381509879587413,0.00531374469370401,-0.0009322348141165967,0.0009322348141165967,7.77352355685898e-20,-11.450097080383246,True
phi3,Phi-3 Mini 3.8B,11,0.004215298306132252,0.0044024145666618384,-0.0001871162605295868,0.0001871162605295868,4.473912690658641e-05,-4.270950477970793,True
phi3,Phi-3 Mini 3.8B,12,0.004495514155529646,0.004926031455251716,-0.00043051729972206926,0.00043051729972206926,3.625422847719511e-05,-4.32631135549205,True
phi3,Phi-3 Mini 3.8B,13,0.004212728734400225,0.005325813037467809,-0.0011130843030675835,0.0011130843030675835,1.0323423413372301e-48,-27.90735591170193,True
phi3,Phi-3 Mini 3.8B,14,0.005373154411223226,0.006257308387374907,-0.0008841539761516807,0.0008841539761516807,5.72218071605372e-36,-19.666172213178708,True
phi3,Phi-3 Mini 3.8B,15,0.0062190463168298234,0.006783844011661163,-0.0005647976948313397,0.0005647976948313397,3.1471591578057487e-05,-4.363317302699552,True
phi3,Phi-3 Mini 3.8B,16,0.00593014989376474,0.007294406656609369,-0.001364256762844629,0.001364256762844629,3.5739201436837314e-20,-11.606849618600771,True
phi3,Phi-3 Mini 3.8B,17,0.0064390924235565965,0.007770905025325819,-0.001331812601769223,0.001331812601769223,2.435161901403287e-09,-6.563438973369602,True
phi3,Phi-3 Mini 3.8B,18,0.006246237815183873,0.007659233237369433,-0.0014129954221855602,0.0014129954221855602,2.3260011089856823e-11,-7.536661012059287,True
phi3,Phi-3 Mini 3.8B,19,0.006207105949114773,0.007290011113616961,-0.0010829051645021882,0.0010829051645021882,1.6609121967015306e-15,-9.458526504011706,True
phi3,Phi-3 Mini 3.8B,20,0.0074336133164886915,0.007795407474826199,-0.0003617941583375075,0.0003617941583375075,0.00017566103495684785,-3.8994750575308847,True
phi3,Phi-3 Mini 3.8B,21,0.005556564993196899,0.005912557935932171,-0.0003559929427352721,0.0003559929427352721,0.0002869261200749024,-3.760716579282487,True
phi3,Phi-3 Mini 3.8B,22,0.00696939667316378,0.006907614528311583,6.178214485219689e-05,6.178214485219689e-05,0.6529205671224357,0.4510769630743707,False
phi3,Phi-3 Mini 3.8B,23,0.006506783113115798,0.0071115498042184176,-0.0006047666911026192,0.0006047666911026192,2.7569412582021424e-05,-4.397776846554486,True
phi3,Phi-3 Mini 3.8B,24,0.005660603963990902,0.006306017991207444,-0.0006454140272165419,0.0006454140272165419,6.884159825882611e-22,-12.409545730370152,True
phi3,Phi-3 Mini 3.8B,25,0.007609449953458494,0.008198689527093144,-0.0005892395736346494,0.0005892395736346494,1.729774264963745e-05,-4.517875587038079,True
phi3,Phi-3 Mini 3.8B,26,0.007404700452246821,0.008519108623373507,-0.0011144081711266856,0.0011144081711266856,1.2890643557485011e-25,-14.199033083494395,True
phi3,Phi-3 Mini 3.8B,27,0.00614848164950086,0.006621015870238467,-0.00047253422073760716,0.00047253422073760716,4.130439665647168e-05,-4.292029717002887,True
phi3,Phi-3 Mini 3.8B,28,0.008676783638646927,0.010210996690230036,-0.0015342130515831089,0.0015342130515831089,2.261668657118226e-08,-6.0798159187489835,True
phi3,Phi-3 Mini 3.8B,29,0.007935695036854868,0.008024730558301147,-8.903552144627971e-05,8.903552144627971e-05,0.19527436367608245,-1.303950124445912,False
phi3,Phi-3 Mini 3.8B,30,0.008625751029967321,0.009359654372345086,-0.0007339033423777643,0.0007339033423777643,2.943360472946532e-05,-4.380764728277886,True
phi3,Phi-3 Mini 3.8B,31,0.008329809670089242,0.009255904787184396,-0.0009260951170951548,0.0009260951170951548,1.2287236058634387e-09,-6.709252010430598,True
